store,item,safety_stock,error_std
1,1,14,4.848283935662042
1,2,24,8.061403164935953
1,3,19,6.4831799946950595
1,4,14,4.768720624260753
1,5,13,4.265840035984459
1,6,24,8.091163270529536
1,7,23,7.834668322085461
1,8,27,9.372111690243988
1,9,22,7.429513833162748
1,10,27,9.181956222560743
1,11,25,8.40519300460205
1,12,24,8.273815247762103
1,13,28,9.640720776942056
1,14,22,7.552113535766476
1,15,27,9.346031484825305
1,16,16,5.494924349848432
1,17,17,5.805697349828091
1,18,29,9.903464129743995
1,19,19,6.595310659467876
1,20,22,7.4297866887717
1,21,19,6.435669979460789
1,22,28,9.57160631428681
1,23,16,5.509814517049904
1,24,25,8.600092340524787
1,25,27,9.122520335691764
1,26,21,7.019826391386653
1,27,15,4.913805277350889
1,28,30,10.41505951275811
1,29,26,8.821003404775915
1,30,19,6.586321610457319
1,31,23,7.703516813439483
1,32,20,6.900588645370816
1,33,26,9.08594986802536
1,34,16,5.377061941735696
1,35,23,7.966722663921613
1,36,27,9.192921100073908
1,37,18,6.206735216482404
1,38,31,10.571814242420325
1,39,22,7.356671414592088
1,40,16,5.286203857790507
1,41,15,4.907668586007975
1,42,17,5.865757289327593
1,43,22,7.410419824312944
1,44,17,5.803706771374379
1,45,27,9.145221402359564
1,46,21,7.257399183866638
1,47,14,4.7651108346157915
1,48,21,7.295643489820834
1,49,16,5.49396987556197
1,50,23,7.8672993061010335
2,1,16,5.5795161441358125
2,2,28,9.659477459188917
2,3,21,7.34743290426337
2,4,16,5.586765676262643
2,5,16,5.266689107997226
2,6,28,9.795379917101997
2,7,29,9.831621464884073
2,8,31,10.564520442515665
2,9,26,8.894575288337073
2,10,32,10.903179340373583
2,11,27,9.344124054735166
2,12,31,10.82440079869415
2,13,34,11.681254136000632
2,14,28,9.593596993972152
2,15,37,12.705643077797774
2,16,19,6.494599279922839
2,17,22,7.510090899704284
2,18,37,12.64191962369379
2,19,22,7.403643369281187
2,20,23,7.921149147462351
2,21,23,7.764051891740043
2,22,34,11.619457607700646
2,23,22,7.387056767166037
2,24,30,10.283788357632002
2,25,33,11.541470030980097
2,26,24,8.262468616062465
2,27,17,5.617058643390719
2,28,37,12.818840997274883
2,29,29,9.956403105428297
2,30,23,7.987851978367839
2,31,28,9.716530799978687
2,32,26,9.074512376036168
2,33,28,9.679797020841406
2,34,18,6.171683681846401
2,35,28,9.756158205217142
2,36,31,10.82849008742697
2,37,20,6.687126471344329
2,38,34,11.726685885232866
2,39,24,8.080987554758062
2,40,20,6.68403814822185
2,41,17,5.655787306283705
2,42,22,7.5978503842589715
2,43,27,9.158063929249554
2,44,21,7.037845408896096
2,45,35,11.981166488266947
2,46,28,9.639894260754527
2,47,16,5.576303309257908
2,48,24,8.150853133408152
2,49,19,6.430972837523799
2,50,30,10.452667436433408
3,1,16,5.387889262653178
3,2,27,9.192898534232581
3,3,21,7.12598441752127
3,4,16,5.405350545996358
3,5,14,4.884637256796195
3,6,26,8.821267463205395
3,7,24,8.2251068045791
3,8,30,10.261829955851493
3,9,24,8.123703738072091
3,10,31,10.764374243563221
3,11,29,9.850703919385117
3,12,27,9.409664289403466
3,13,32,10.871707842575399
3,14,25,8.49342589217805
3,15,32,11.143285671204877
3,16,17,5.910602645283704
3,17,20,6.663774539276189
3,18,29,10.02169560685676
3,19,22,7.426084913503639
3,20,24,8.148025145197655
3,21,20,6.9317229129292
3,22,30,10.28865674449076
3,23,17,5.921052550552219
3,24,30,10.148033698664399
3,25,33,11.208868311147823
3,26,25,8.412633280139486
3,27,17,5.707053857848877
3,28,34,11.615237844106984
3,29,29,10.070573083453969
3,30,23,7.800273961962454
3,31,26,8.95386290952542
3,32,22,7.488093783837062
3,33,27,9.099157956969009
3,34,19,6.308531264154658
3,35,27,9.369455299486402
3,36,30,10.446092929411737
3,37,19,6.3588162039745715
3,38,31,10.630158762804939
3,39,23,7.958151269602727
3,40,19,6.524070436687129
3,41,16,5.278252237743033
3,42,21,7.097549579668217
3,43,24,8.150931607234547
3,44,18,6.285225940983919
3,45,31,10.673025823325503
3,46,25,8.511909976538176
3,47,16,5.593080733850374
3,48,26,8.779844109082177
3,49,19,6.439792892818844
3,50,25,8.615173095416903
4,1,16,5.307870658384062
4,2,24,8.380150472830158
4,3,20,6.986225337719371
4,4,16,5.398053408695177
4,5,14,4.861855932307697
4,6,25,8.73695873584521
4,7,26,8.961773514662863
4,8,29,10.041410511760839
4,9,24,8.317816023094833
4,10,28,9.507151474753407
4,11,28,9.643588017982255
4,12,28,9.780111846027777
4,13,29,9.8994980688841
4,14,25,8.575657277379587
4,15,32,10.95168464715502
4,16,16,5.5286531876876905
4,17,18,6.13693392680449
4,18,33,11.27529462907038
4,19,21,7.257061955244874
4,20,23,7.829207940114198
4,21,22,7.584872794904116
4,22,28,9.493313133823877
4,23,18,6.06637418062205
4,24,27,9.376245178147327
4,25,30,10.269033452069483
4,26,22,7.4540433152031484
4,27,16,5.425295555869763
4,28,34,11.6237699888113
4,29,27,9.432219974447102
4,30,21,7.3054728289643185
4,31,24,8.37454566984736
4,32,22,7.435230713232575
4,33,27,9.270834009215882
4,34,17,5.895774972708002
4,35,26,9.01856546895929
4,36,30,10.404321870180524
4,37,18,6.106236159877773
4,38,28,9.634057143512477
4,39,23,7.968129145164556
4,40,18,6.098101305233621
4,41,17,5.640033026446584
4,42,19,6.625563619216733
4,43,23,7.899981841900641
4,44,18,6.28976431251077
4,45,30,10.267294342267864
4,46,26,8.967875520488349
4,47,16,5.529219841850007
4,48,23,7.987742212583563
4,49,17,5.763615098948593
4,50,28,9.546248575557334
5,1,13,4.472710939178792
5,2,23,7.741246802336934
5,3,17,5.721985253752186
5,4,13,4.332205538255628
5,5,12,4.074150115478493
5,6,21,7.241058616600612
5,7,21,7.230594871009271
5,8,26,8.837671196804193
5,9,22,7.34922400943764
5,10,22,7.686898950460333
5,11,24,8.237668121153181
5,12,23,7.72312791535779
5,13,26,8.953419349376489
5,14,22,7.395599593237344
5,15,28,9.59368254961743
5,16,13,4.43584719366443
5,17,16,5.462518608727954
5,18,25,8.425513606443133
5,19,17,5.805141564489977
5,20,18,6.212183375668826
5,21,18,5.973262110284691
5,22,24,8.052415672588408
5,23,15,5.157307979673192
5,24,23,7.809203439903924
5,25,24,8.348235933915463
5,26,19,6.485042515758705
5,27,13,4.423790099136774
5,28,25,8.654843329667548
5,29,24,8.335101622130175
5,30,17,5.917718632588685
5,31,23,7.911288993879644
5,32,18,6.005907533044863
5,33,23,7.740024767108319
5,34,15,5.009367202062419
5,35,21,7.184888736693518
5,36,25,8.401560901129615
5,37,14,4.727531722441488
5,38,24,8.326550386399335
5,39,20,6.967447708259104
5,40,15,5.218720920275459
5,41,14,4.558514338774848
5,42,17,5.648171714385248
5,43,21,7.199864921927211
5,44,16,5.299122151367619
5,45,26,8.8412508293224
5,46,21,7.318381617556708
5,47,14,4.7226062308022
5,48,19,6.569954449866573
5,49,15,5.206787622385826
5,50,23,7.856526069999805
6,1,12,3.939219582112789
6,2,21,7.317638327524501
6,3,17,5.905959201907053
6,4,14,4.5641353548963925
6,5,13,4.25017592838271
6,6,20,6.964776332782056
6,7,22,7.5433036545487955
6,8,23,8.012999738711022
6,9,19,6.625075500411238
6,10,22,7.395497287668681
6,11,24,8.052560225962285
6,12,23,8.01607318909502
6,13,27,9.153710386305816
6,14,22,7.566279642240365
6,15,28,9.620884489237584
6,16,13,4.501888359376102
6,17,16,5.450873940240225
6,18,26,8.990579433219382
6,19,17,5.87989013734797
6,20,19,6.50264693304332
6,21,17,5.931540864497838
6,22,25,8.620736868951006
6,23,15,5.01576511969479
6,24,23,7.86031125598662
6,25,25,8.517564685791704
6,26,19,6.412788946931094
6,27,14,4.576637172169528
6,28,27,9.289609036977264
6,29,23,7.9425473361499375
6,30,18,6.1542521158393715
6,31,20,6.739028333881611
6,32,19,6.365058913796001
6,33,23,7.942644975940943
6,34,14,4.649534323479747
6,35,24,8.074063173140638
6,36,24,8.320251600167907
6,37,15,4.927619573369062
6,38,25,8.679755092182615
6,39,18,6.124270207385312
6,40,16,5.460946561985287
6,41,13,4.46297830090151
6,42,17,5.709156651056198
6,43,20,6.730228656233606
6,44,16,5.45517007272394
6,45,26,8.786250307522282
6,46,21,7.0716487113367235
6,47,13,4.329481282859418
6,48,19,6.428250798347548
6,49,15,5.016091997146972
6,50,21,7.316253447630382
7,1,13,4.307117930624473
7,2,19,6.647662257906537
7,3,15,5.1442731326255355
7,4,12,4.1849540304452875
7,5,12,4.093434271173851
7,6,20,6.774851653534622
7,7,20,6.94407411946849
7,8,21,7.302890047274389
7,9,19,6.517615340166246
7,10,23,7.726867404195777
7,11,22,7.395608846430672
7,12,23,7.705185798926827
7,13,25,8.637975519646634
7,14,20,6.835723549193901
7,15,23,7.853831440898711
7,16,14,4.883436889251676
7,17,16,5.480985257024931
7,18,24,8.081023450707349
7,19,17,5.7084696228874865
7,20,19,6.6069913510827805
7,21,16,5.527197015517944
7,22,25,8.701534874420943
7,23,16,5.250818923212489
7,24,21,7.25290309676728
7,25,23,7.988168681498446
7,26,19,6.326600616086311
7,27,13,4.432118000822623
7,28,25,8.427337160690353
7,29,22,7.601877093429013
7,30,17,5.715958587862933
7,31,21,7.059205636126278
7,32,18,5.957454607566846
7,33,23,7.868091814666746
7,34,13,4.501322491156167
7,35,21,7.101342559204815
7,36,24,8.08045871024406
7,37,15,4.93637808842782
7,38,23,8.041190661223292
7,39,18,6.227216553132857
7,40,14,4.803129067439791
7,41,13,4.344656854775839
7,42,17,5.852758753167441
7,43,19,6.6012630642514925
7,44,14,4.8577407132673525
7,45,23,7.879044331239309
7,46,20,6.97879105773059
7,47,12,4.125300367616702
7,48,19,6.5559960865473865
7,49,16,5.252293038060407
7,50,22,7.527624905757862
8,1,18,6.04134233436868
8,2,28,9.4479975211631
8,3,23,7.748012130534814
8,4,16,5.524861640766014
8,5,15,4.910100628221267
8,6,27,9.221210252184896
8,7,28,9.743716279383253
8,8,32,10.95943885172279
8,9,27,9.33194476776186
8,10,30,10.422597585151749
8,11,29,9.89658597959539
8,12,32,10.949638363248242
8,13,34,11.669348943241665
8,14,29,9.812408455967972
8,15,36,12.435488665154562
8,16,18,6.122852670146322
8,17,19,6.54384984397077
8,18,33,11.451357970254655
8,19,23,7.921138044656174
8,20,24,8.364473788344126
8,21,23,7.726177490979198
8,22,34,11.56662164932386
8,23,21,7.0953060884775185
8,24,29,9.988255413889007
8,25,31,10.658494343836555
8,26,25,8.498152770102022
8,27,17,5.622880787186466
8,28,34,11.755717992780053
8,29,30,10.377205606402102
8,30,22,7.637079344376149
8,31,27,9.432649863059924
8,32,24,8.285748209321339
8,33,29,10.108172978795873
8,34,18,6.151083510726709
8,35,30,10.209779428726845
8,36,29,10.138352593410643
8,37,18,6.238570793129777
8,38,30,10.237154073782301
8,39,25,8.489049892906632
8,40,18,6.156876308456947
8,41,18,6.099819715487316
8,42,23,7.834585997523544
8,43,27,9.298586093883694
8,44,18,6.243652829897471
8,45,31,10.596806677385011
8,46,25,8.584062523130372
8,47,17,5.6516886629546335
8,48,26,9.027201994965749
8,49,18,6.1998509603320215
8,50,29,9.877212497381759
9,1,15,5.022914637282966
9,2,25,8.59401367793289
9,3,19,6.311532342546449
9,4,17,5.605825392880033
9,5,14,4.888064548820357
9,6,25,8.710130467656512
9,7,25,8.658401237337491
9,8,27,9.332554129851328
9,9,23,7.912928494393014
9,10,29,9.804883543529373
9,11,27,9.391052679970636
9,12,28,9.630608136695047
9,13,29,9.93713769226501
9,14,24,8.192101172064872
9,15,30,10.343385050223542
9,16,17,5.848757096775476
9,17,20,6.715539190653472
9,18,32,11.06625313069548
9,19,21,7.150619505058353
9,20,20,6.990033951878636
9,21,21,7.31130619228103
9,22,28,9.734978866086923
9,23,18,6.238069746760919
9,24,26,9.030020000842017
9,25,30,10.420280142382438
9,26,22,7.469030364801058
9,27,15,5.208454650172923
9,28,31,10.528209521515658
9,29,30,10.226516603202604
9,30,22,7.688583427175189
9,31,27,9.310699194279431
9,32,22,7.376490349043243
9,33,26,9.048792026920617
9,34,17,5.837484617689141
9,35,26,9.061388855854641
9,36,29,9.975084786122581
9,37,18,6.012171662741803
9,38,29,9.889122891389375
9,39,23,7.791272413738798
9,40,19,6.485727451978619
9,41,16,5.46591857175263
9,42,20,6.77245387741414
9,43,25,8.440063361733387
9,44,17,5.922619712018765
9,45,28,9.62934266773094
9,46,25,8.538106368269753
9,47,15,5.025388226644176
9,48,24,8.131136087290125
9,49,18,6.08421568211877
9,50,24,8.30505493790136
10,1,15,5.119374712455129
10,2,27,9.152458308608718
10,3,21,7.1597466237250735
10,4,17,5.730120223893353
10,5,15,5.037884687169001
10,6,25,8.673042105836414
10,7,24,8.279827129561214
10,8,30,10.43782614341983
10,9,24,8.268139314299106
10,10,29,9.982665512535963
10,11,27,9.4463067961835
10,12,29,10.01188839712861
10,13,31,10.744162051100362
10,14,25,8.690314610883082
10,15,30,10.218364434401199
10,16,17,5.817621629324322
10,17,20,6.790478129938553
10,18,31,10.741330067339403
10,19,22,7.638854819870058
10,20,23,8.014242936177794
10,21,22,7.62342259341236
10,22,31,10.717173659867662
10,23,19,6.517591218632046
10,24,27,9.399653127067051
10,25,30,10.41221168779317
10,26,23,7.909452899243056
10,27,14,4.891672368879579
10,28,30,10.375940185330442
10,29,27,9.178764316834712
10,30,22,7.623749103994702
10,31,26,8.794369407511146
10,32,21,7.304968751590676
10,33,29,9.906583227621004
10,34,18,6.089914952673299
10,35,28,9.600364486199126
10,36,30,10.339640466134503
10,37,19,6.312556140274758
10,38,32,11.022737151436917
10,39,21,7.252463615673002
10,40,18,5.956930879581659
10,41,16,5.407705815567246
10,42,20,6.895852600460835
10,43,26,8.770344176545972
10,44,17,5.877950052682717
10,45,30,10.401360035072193
10,46,26,8.981105501008415
10,47,17,5.772742588065176
10,48,25,8.634276694902601
10,49,19,6.494403926176207
10,50,27,9.183493498618992
